סוג	מה קורה	מי קורה	מתי קורה	תאריך
ראפר - גוזל (מייקל כץ) בן 18 מייצג בכבוד את קריית גת מופיע יחד עם הגיטריסט המוכשר מיכאל אשורוב EP אחד ו3 סינגלים בחוץ ואלבום בכורה בשם "ילד נזק" שעתיד לצאת בקרוב	הופעה	גוזל	20:50	27.8.25
	סוף הופעה	גוזל	21:10	27.8.25
אמן רגאיי - סולג‘יי (אלון בלום), אחד הקולות הבולטים והייחודיים בנוף המוזיקלי הישראלי חוזר עם מופע להקה חדש לקראת צאת אלבום חדש.אחרי שכבר שיתף פעולה עם השמות הגדולים בתעשייה כמו טונה, רביד פלוטניק, עילי בוטנר, קפה שחור חזק, סאבלימינל, סקאזי ועוד הוא מגיע עם הרכב חדש וסאונד ייחודי שמדגיש את זהותו המגוונת שבאה לידי ביטוי בפיוז'ן של מוזיקת רגאיי, דאנסהול, היפ-הופ ביחד עם שלל הצלילים המרכיבים את הפסקול של כולנו כישראלים.	הופעה	סולג'יי	21:15	27.8.25
	סוף הופעה	סולג'יי	21:45	27.8.25
זמרת - זאת אחת ההופעות שאנחנו הכי מתרגשים לארח בפסטיבל השנה. מרגלית צנעני, הידועה גם בשם מרגול, היא זמרת ויוצרת ישראלית, פעילה החל משנות ה-70 ועד היום, משלבת בין בלוז ורוק לבין מוזיקה מזרחית וים תיכונית. השתתפה כשופטת ומנטורית בתוכניות טלויזיה מוזיקליות רבות. לצד השירים הרבים והיצירה המוזיקלית העשירה מרגול היא חיית במה שיודעת לגעת בקהל ולעשות שמח!	הופעה	מרגול	22:00	27.8.25
	סוף הופעה	מרגול	23:00	27.8.25
להקה - תבואו ותראו	הופעה	Aziz Léon	20:15	28.8.25
	סוף הופעה	Aziz Léon	20:40	28.8.25
זמר יוצר ארז פרביאש חוזר לפסטיבל סמילנסקי כדי לעשות בעיות! עם אלבום שמיני טרי במיוחד תהיו מוכנים לפופ כאוטי, רוק פסיכוטי ווייב אידיוטי. 	הופעה	ארז פרביאש	20:45	28.8.25
	סוף הופעה	ארז פרביאש	21:15	28.8.25
ראפר ישי טרו, מהראפרים הצעירים והבולטים בדור החדש של ההיפהופ הישראלי. כיום משרת כלוחם בחטיבת כפיר ותוך כדי שירות פעיל עובד על מוזיקה והקריירה.	הופעה	 YISHAY TRUE	21:15	28.8.25
	סוף הופעה	 YISHAY TRUE	21:45	28.8.25
זמרת יוצרת - נטע ברזילי, אחת מהאמניות החדשניות והמרגשות של זמננו, מגיעה במופע חד-פעמי ומחשמל, שכולו חגיגה של יצירה, אנרגיה ורגש.הקול הייחודי, הכריזמה המסחררת והאנרגיות הבלתי נגמרות שהפכו אותה לכוכבת בינלאומית, נטע מזמינה אתכם לצלול לעולם מוזיקלי עשיר ומגוון, שנבנה במיוחד עבור הקהל במופע שאין שני לו.המופע משלב את כוחו הייחודי של הלופר - הכלי שהפך את נטע לשם דבר בעולם - יחד עם להקה חיה שמעניקה עומק ודינמיות לשיריה. כל שיר עובר עיבוד חדש בזמן אמת, כשהוא נרקם בשכבות של צלילים וקולות שמתחברים ליצירה חיה, מרגשת ולא צפויה. המופע כולל את הלהיטים הגדולים שהפכו את נטע לשם דבר בעולם, כמו "Toy"ו Bassa- ,Sababa אפס מאמץ לצד ביצועים מפתיעים לשירים מתוך אלבומה החדש "הכל עליי" אל תפספסו - זה לא רק מופע, זו חוויה שתשאר איתכם הרבה אחרי שהמוזיקה תיפסק.	הופעה	נטע ברזילי	22:00	28.8.25
	סוף הופעה	נטע ברזילי	23:00	28.8.25
