סוג	מה קורה	מי קורה	מתי קורה	תאריך
	סוף הופעה	KEEP ON BEATING  - רותם גרינברג	20:48	27.8.25
יצירת מחול של היוצר גיל קרר  אחדות. חרדה. נפרדות. ביטחון מבנים מתפרקים, כוחות מתנגשים, אירועים מאיצים העבודה בוחנת מה יוצר ומארגן יחידה פועלת, וכמה אמון נדרש מפרטיה כדי לשהות יחד. אפשרויות חדשות של תנועה והיאחזות מתגלות תדיר בתוך טווח הולך ומתרחב, שבו גם ההתנגדות – מבוססת על הסכמה	הופעה	גיל קרר - יחידה	20:55	27.8.25
	סוף הופעה	גיל קרר - יחידה	21:30	27.8.25
יצירת מחול של היוצרת ביאטריס לאריבה   NObody הוא מסע הבנה שהכוח שלנו תלוי לחלוטין בנקודת המבט שלנו. יצירה המתארת חוויה של שינוי ושל התנאים שאנו מחפשים וזקוקים להם כדי לחולל אותו. מסע לעבר בחינה מחדש של חולשותינו המותנות, הזדמנות לאמץ את המגבלות המגוונות והמרובות של הגוף. גוף שמתעמת, ללא עזרה, עם תקיפה קולקטיבית. הסולו מאפשר לבדידות ולהתנגדות להתקיים לצד אינטימיות וקנאה. 	הופעה	ביאטריס לאריבה - NObody	21:35	27.8.25
	סוף הופעה	ביאטריס לאריבה - NObody	22:05	27.8.25
יצירת מחול של היוצרת ורוניקה בצ'לדין  כילידת יפו, החוף היה המקלט שלי—מרחב של שלווה ועצירה, מקום בו מצאתי חופש שלא מצאתי בתוך העיר. עם המעבר לשדרות, חוף זיקים הפך לעוגן החדש שלי. אך המלחמה הפכה אותו לאיזור נצור, והגעגוע לחוף ולחופש שהוא מסמל עבורי נותר ככמיהה שלא ניתנת למימוש—כמו תחושות רבות אחרות שנוכחות בעוצמה בימים אלה.   כובד החול. הכובד שאנו נושאים, זה שאינו נראה. הגוף שוקע, נכנע, מתמסר.   החול שנמצא קבוע בים נושא את משקלי הגעגוע, החופש והזיכרונות האבודים, אך נמצא בתנועה מתמדת—כמו הזמן, כמו הגוף, כמו המסע. האם החול מסוגל להכיל את המתח שבין אחיזה לשחרור?  אם הדבר היחידי שקבוע הוא השינוי—איך נוכל להימנע מלהיאבק בו ולהתמסר אליו? מתי יש לשחרר את מה שמכביד? מתי לאסוף את מה שמתפורר כדי להמשיך במסע? 	הופעה	ורוניקה בצ'לדין - מי.שק.לים	22:10	27.8.25
	סוף הופעה	ורוניקה בצ'לדין - מי.שק.לים	22:25	27.8.25
יצירת מחול של היוצרת שירה מרקוביץ	הופעה	שירה מרקוביץ - לא תיהיה לבד	20:15	28.8.25
	סוף הופעה	שירה מרקוביץ - לא תיהיה לבד	20:18	28.8.25
יצירת מחול של היוצרת מיקה קופפר  התנועה הבלתי פוסקת והחזרתיות על המעגל, יום אחר יום, הן מוטיב ביחסים המתקיימים בעבודה. אנחנו מביטות למעלה; הירח והשמש מתחלפים מנקודת מבטנו. החילוף המתמיד הזה הוא עוגן בעולם הפעולות הארציות והלא-צפויות, שבו המרחב המקומי התעקם לנו עוד יותר לזוויות חדות שלא יכולנו לדמיין. בתוך חוסר היציבות שבתוכה אנו צועדות, דווקא ההתמדה בחיפוש המשותף—ההליכה יחד במרחב העקום והסבוך הזה—היא שמובילה ומרגשת אותי בתהליך הזה, עם ורוניקה ומעין, ועם המרחב החד-פעמי שהמפגש הזה פתח. בסופו של דבר, זה בעיקר דואט. ריקוד משותף	הופעה	מיקה קופפר - שתי נקודות, מרחב עקום	20:23	28.8.25
	סוף הופעה	מיקה קופפר - שתי נקודות, מרחב עקום	20:35	28.8.25
יצירת מחול של היוצרת מאיה שוורץ אני בוכה דברים שאני לא יודעת אי-תגובה או תגובה מתמשכת להימצאותי בשטחי מלחמה, על ישראל, על אוקראינה והשורשים שלי. על התמודדות עם תחימה, גבול ומקום, על התבצרות, על בית, על צמצום, חיכיון, קיפאון, על ברירות. על הצורך להגיב. על המלחמה שבתוך הגוף, שבתוך הבית, שבתוך השטח.  למי שייך הגוף בזמן מלחמה? על עור שני, שכבות הגנה והזדקקות להגנה עצמית.  על התאפקות, תחושת דחייה וסלידה, החזקת מעמד, ציות וכל הדרכים המורכבות שבהן אני לומדת להתאבל. To all who left  	הופעה	מאיה שוורץ - אני בוכה דברים שאני לא יודעת	20:40	28.8.25
	סוף הופעה	מאיה שוורץ - אני בוכה דברים שאני לא יודעת	21:00	28.8.25
יצירת מחול של היוצר עירד אבני יודל הוא שער המאפשר לברוח ממחשבות רעות. מוליך את האנרגיה בגוף, מרשה להיות ילדותיים. באנו לשחק את ג׳ודלנדיה, כל מה שאי פעם דמיינו מקום בו עשן הוא רוח שטות. מריח כמו כחול, נשמע כמו תשוקה. אנחנו מאמינים שכאן , ברגע הזה , שהיודל נע דרכנו , אנחנו אינסופיים. 	הופעה	עירד אבני - ג'ודלנדיה	21:05	28.8.25
	סוף הופעה	עירד אבני - ג'ודלנדיה	21:25	28.8.25
״הארד קליימקס״ היא יצירת מחול חיה, חוץ־אולפנית, בהשראת הסרט- “Climax” מאת גספר נואה ,יצר קולנוע המבוסס על טהרת הקלאב.היא נעה בין טראנס לתודעה, בין כאוס לשליטה, בין .מחול טקסי להתפרקות טוטאלית היצירה בנויה מרצף של מקצבים פיזיים ומוזיקליים, אינטרפרטציה חיה לפסקול הסרט – גרסה . ,אפלה ועכשווית, עם נוכחות אלקטרונית חדה ודחוסה me sue Dj, בשיתוף פעולה עם 7 רקדנים ורקדניות שנעים כקולקטיב של תודעה גופנית אחת, במסע מתמשך שאינו עוצר לנשום. הקהל מוזמן .לצפות, להיטמע, ואולי גם להישאב פנימה נוצרה עבור המרחב הציבורי, מתוך כוונה לפרוץ את גבולות הבמה ולהעביר את החוויה הפיזית־רגשית CLIMAX  .ישירות אל תוך הרחוב, אל תוך החיים	הופעה	 HARD CLIMAX	21:35	28.8.25
	סוף הופעה	 HARD CLIMAX	22:40	28.8.25
